id,score,href,fields_title
3826599,6.0751762,https://api.reliefweb.int/v1/reports/3826599?appname=DESKTOP-06R1BSH,Ukraine: Civilian casualties as of 24.00 11 March 2022 [EN/RU/UK]
3826507,6.0751762,https://api.reliefweb.int/v1/reports/3826507?appname=DESKTOP-06R1BSH,"Ukraine - Complex Emergency Fact Sheet #5, Fiscal Year (FY) 2022"
3825790,6.0751762,https://api.reliefweb.int/v1/reports/3825790?appname=DESKTOP-06R1BSH,Afghan family in Ukraine forced to flee conflict for second time in eight months
3821280,6.0751762,https://api.reliefweb.int/v1/reports/3821280?appname=DESKTOP-06R1BSH,USAID deploys a disaster assistance response team to respond to humanitarian needs in Ukraine
3823334,6.0751762,https://api.reliefweb.int/v1/reports/3823334?appname=DESKTOP-06R1BSH,Turkish Red Crescent / Ukraine Crisis (03 Mar 2022)
3828673,6.0751762,https://api.reliefweb.int/v1/reports/3828673?appname=DESKTOP-06R1BSH,Mohammed bin Rashid orders airlift of emergency humanitarian aid to support civilians fleeing crisis in Ukraine
3825454,6.0751762,https://api.reliefweb.int/v1/reports/3825454?appname=DESKTOP-06R1BSH,Emerging Patterns of Civilian Harm in Ukraine
3823067,6.0751762,https://api.reliefweb.int/v1/reports/3823067?appname=DESKTOP-06R1BSH,General Assembly resolution demands end to Russian offensive in Ukraine [EN/AR/RU/ZH/SW/HI]
3821147,6.0751762,https://api.reliefweb.int/v1/reports/3821147?appname=DESKTOP-06R1BSH,Is Europe Prepared for a Possible Large-Scale Ukrainian Displacement Crisis?
3823436,6.0751762,https://api.reliefweb.int/v1/reports/3823436?appname=DESKTOP-06R1BSH,"Statement of ICC Prosecutor, Karim A.A. Khan QC, on the Situation in Ukraine: Receipt of Referrals from 39 States Parties and the Opening of an Investigation [EN/RU/UK]"
